REGION,DIVISION,STATE,NAME,ORIGIN,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,CENSUS2010POP,POPESTIMATE2010
0,0,0,United States,0,281424600,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,308745538,309349689
0,0,0,United States,1,246118224,246500526,247824859,249007573,250058504,251303923,252492985,253773607,255034354,256300181,257444040,258267944,258539476
0,0,0,United States,2,35306376,35661885,37144096,38617620,40049429,41501375,43023614,44606305,46196853,47793785,49327489,50477594,50810213
3,6,01,Alabama,0,4447207,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4779736,4785298
3,6,01,Alabama,1,4371386,4375157,4381912,4385910,4400019,4417445,4444983,4491139,4522188,4554497,4581420,4594134,4598451
3,6,01,Alabama,2,75821,77016,85722,94179,103472,113284,124822,137842,150652,163709,176518,185602,186847
4,9,02,Alaska,0,626933,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,710231,713985
4,9,02,Alaska,1,601081,602000,605725,612394,616997,626407,632524,639797,644071,650199,660663,670982,674115
4,9,02,Alaska,2,25852,25963,27989,29943,31417,32879,34422,35505,36229,37256,38232,39249,39870
4,8,04,Arizona,0,5130247,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6392017,6413737
4,8,04,Arizona,1,3834631,3851197,3906561,3969818,4029456,4111398,4220738,4327178,4394036,4449496,4476334,4496868,4504823
4,8,04,Arizona,2,1295616,1309389,1366916,1426437,1480908,1541006,1618339,1701963,1773645,1830866,1866820,1895149,1908914
3,7,05,Arkansas,0,2673293,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2915918,2921606
3,7,05,Arkansas,1,2586431,2590784,2595045,2600233,2609192,2624583,2643949,2672178,2688253,2704323,2717804,2729868,2734131
3,7,05,Arkansas,2,86862,87804,96526,105694,115624,125103,137148,149583,160397,170231,179039,186050,187475
4,9,06,California,0,33871653,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37253956,37349363
4,9,06,California,1,22905106,22933424,23095496,23166048,23223144,23239009,23208112,23145097,23114006,23156344,23201362,23240237,23259948
4,9,06,California,2,10966547,11054553,11383962,11705795,12030015,12335567,12619831,12876105,13136305,13447993,13759867,14013719,14089415
4,8,08,Colorado,0,4302086,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5029196,5049071
4,8,08,Colorado,1,3566358,3581629,3642418,3673383,3686392,3710269,3739469,3797117,3849687,3904831,3956704,3990509,4001370
4,8,08,Colorado,2,735728,745292,783269,817023,842340,864744,892419,923306,954181,984899,1015491,1038687,1047701
1,1,09,Connecticut,0,3405650,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3574097,3577073
1,1,09,Connecticut,1,3085308,3087925,3094716,3105032,3115034,3113182,3110633,3104593,3097942,3098803,3096321,3095010,3095170
1,1,09,Connecticut,2,320342,323852,338119,353717,369302,382912,396323,412867,429328,446776,465486,479087,481903
3,5,10,Delaware,0,783559,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,897934,899769
3,5,10,Delaware,1,746278,748539,754791,761982,770404,779529,789775,799790,808600,817149,820915,824713,825927
3,5,10,Delaware,2,37281,37834,40908,44187,47599,51274,55375,59478,63149,66725,70815,73221,73842
3,5,11,District of Columbia,0,572086,572046,574504,573158,568502,567754,567136,570681,574404,580236,592228,601723,604453
3,5,11,District of Columbia,1,527132,526780,527687,526104,520922,519511,518552,522159,525422,529790,538607,546974,549196
3,5,11,District of Columbia,2,44954,45266,46817,47054,47580,48243,48584,48522,48982,50446,53621,54749,55257
3,5,12,Florida,0,15982571,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18801310,18843326
3,5,12,Florida,1,13299699,13330434,13495307,13675840,13843763,14084049,14317971,14453010,14495706,14518143,14528337,14577504,14590123
3,5,12,Florida,2,2682872,2717081,2861659,3013530,3160322,3331269,3524067,3713980,3872136,4009162,4124307,4223806,4253203
3,5,13,Georgia,0,8186653,8227303,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9687653,9712587
3,5,13,Georgia,1,7751426,7785727,7892910,7984971,8062660,8166678,8278963,8456150,8598820,8709842,8790441,8833964,8852692
3,5,13,Georgia,2,435227,441576,484128,523285,560133,602574,646959,699663,751168,795001,830405,853689,859895
4,9,15,Hawaii,0,1211497,1213519,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1360301,1363621
4,9,15,Hawaii,1,1123794,1125530,1134502,1144570,1153482,1172183,1188072,1201408,1204528,1216882,1227612,1239459,1242620
4,9,15,Hawaii,2,87703,87989,91446,95043,97672,101386,104657,108323,111147,115331,119105,120842,121001
4,8,16,Idaho,0,1293957,1299430,1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1554439,1567582,1571450
4,8,16,Idaho,1,1192267,1196392,1210895,1225534,1242686,1264494,1292896,1323174,1349883,1370464,1383621,1391681,1394127
4,8,16,Idaho,2,101690,103038,109067,114838,120694,127308,135345,145495,155222,163856,170818,175901,177323
2,3,17,Illinois,0,12419927,12434161,12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12830632,12843166
2,3,17,Illinois,1,10889607,10889996,10886912,10872256,10854083,10842501,10817754,10803728,10806239,10805690,10806223,10803054,10804111
2,3,17,Illinois,2,1530320,1544165,1601533,1653300,1701923,1747272,1792149,1840227,1889627,1941348,1990555,2027578,2039055
2,3,18,Indiana,0,6080827,6091866,6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6483802,6490621
2,3,18,Indiana,1,5866242,5874540,5893291,5906558,5930402,5949791,5975259,6008312,6035946,6063091,6081468,6094095,6098250
2,3,18,Indiana,2,214585,217326,234469,249409,266236,283216,303357,324357,343653,361715,377857,389707,392371
2,4,19,Iowa,0,2926538,2929067,2931997,2934234,2941999,2953635,2964454,2982644,2999212,3016734,3032870,3046355,3049883
2,4,19,Iowa,1,2844058,2845653,2841527,2837448,2838968,2843863,2848038,2858930,2868170,2878915,2886829,2894811,2897187
2,4,19,Iowa,2,82480,83414,90470,96786,103031,109772,116416,123714,131042,137819,146041,151544,152696
2,4,20,Kansas,0,2688925,2693681,2702162,2713535,2723004,2734373,2745299,2762931,2783785,2808076,2832704,2853118,2859169
2,4,20,Kansas,1,2500627,2503048,2501442,2503035,2502650,2504249,2504648,2511304,2520130,2531332,2543151,2553076,2556860
2,4,20,Kansas,2,188298,190633,200720,210500,220354,230124,240651,251627,263655,276744,289553,300042,302309
3,6,21,Kentucky,0,4042193,4049021,4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4317074,4339367,4346266
3,6,21,Kentucky,1,3982257,3988291,4000972,4016678,4037154,4058894,4087504,4117059,4145753,4171516,4190350,4206531,4212347
3,6,21,Kentucky,2,59936,60730,67160,73197,80016,87207,95238,102180,110919,118362,126724,132836,133919
3,7,22,Louisiana,0,4469035,4471885,4477875,4497267,4521042,4552238,4576628,4302665,4375581,4435586,4491648,4533372,4544228
3,7,22,Louisiana,1,4361296,4362888,4361665,4373212,4389774,4412500,4427827,4157225,4216730,4264720,4308192,4340812,4350063
3,7,22,Louisiana,2,107739,108997,116210,124055,131268,139738,148801,145440,158851,170866,183456,192560,194165
1,1,23,Maine,0,1274779,1277072,1285692,1295960,1306513,1313688,1318787,1323619,1327040,1330509,1329590,1328361,1327567
1,1,23,Maine,1,1265423,1267651,1275202,1284495,1293993,1300224,1304480,1308534,1311246,1314010,1312473,1311426,1310384
1,1,23,Maine,2,9356,9421,10490,11465,12520,13464,14307,15085,15794,16499,17117,16935,17183
3,5,24,Maryland,0,5296647,5311034,5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5773552,5785982
3,5,24,Maryland,1,5068739,5079879,5123340,5166504,5198704,5224040,5241630,5247905,5247222,5254590,5277604,5302920,5312133
3,5,24,Maryland,2,227908,231155,251351,273885,297565,322895,350749,379462,406186,430375,452784,470632,473849
1,1,25,Massachusetts,0,6349364,6361104,6397634,6417206,6422565,6412281,6403290,6410084,6431559,6468967,6517613,6547629,6557254
1,1,25,Massachusetts,1,5920623,5927493,5942473,5943391,5931658,5905992,5881303,5869140,5870510,5884219,5908202,5919975,5925374
1,1,25,Massachusetts,2,428741,433611,455161,473815,490907,506289,521987,540944,561049,584748,609411,627654,631880
2,3,26,Michigan,0,9938823,9952450,9991120,10015710,10041152,10055315,10051137,10036081,10001284,9946889,9901591,9883640,9877574
2,3,26,Michigan,1,9614913,9625400,9647503,9658574,9671575,9674165,9658452,9632423,9588891,9525963,9472168,9447282,9439023
2,3,26,Michigan,2,323910,327050,343617,357136,369577,381150,392685,403658,412393,420926,429423,436358,438551
2,4,27,Minnesota,0,4919631,4933692,4982796,5018935,5053572,5087713,5119598,5163555,5207203,5247018,5281203,5303925,5310584
2,4,27,Minnesota,1,4776237,4788391,4824746,4849956,4873853,4897419,4918136,4950631,4983642,5012989,5038309,5053667,5058576
2,4,27,Minnesota,2,143394,145301,158050,168979,179719,190294,201462,212924,223561,234029,242894,250258,252008
3,6,28,Mississippi,0,2844754,2848353,2852994,2858681,2868312,2889010,2905943,2904978,2928350,2947806,2958774,2967297,2970036
3,6,28,Mississippi,1,2805185,2808321,2808826,2810757,2816495,2833276,2845360,2840544,2858284,2872833,2879079,2885816,2887995
3,6,28,Mississippi,2,39569,40032,44168,47924,51817,55734,60583,64434,70066,74973,79695,81481,82041
2,4,29,Missouri,0,5596564,5607285,5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5961088,5988927,5996231
2,4,29,Missouri,1,5477944,5487426,5512298,5536997,5562542,5591693,5624330,5665619,5700097,5726899,5755168,5776457,5782176
2,4,29,Missouri,2,118620,119859,128844,137828,146861,156048,165970,177085,187515,197017,205920,212470,214055
4,8,30,Montana,0,902200,903773,906961,911667,919630,930009,940102,952692,964706,976415,983982,989415,990898
4,8,30,Montana,1,884116,885582,887415,891045,897816,907243,915949,927391,938266,949042,955772,960850,961975
4,8,30,Montana,2,18084,18191,19546,20622,21814,22766,24153,25301,26440,27373,28210,28565,28923
2,4,31,Nebraska,0,1711230,1713820,1719836,1728292,1738643,1749370,1761497,1772693,1783440,1796378,1812683,1826341,1830429
2,4,31,Nebraska,1,1616811,1618315,1616621,1617298,1620263,1624703,1630030,1634212,1638363,1643675,1651812,1658936,1661674
2,4,31,Nebraska,2,94419,95505,103215,110994,118380,124667,131467,138481,145077,152703,160871,167405,168755
4,8,32,Nevada,0,1998250,2018741,2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2700551,2704642
4,8,32,Nevada,1,1604284,1618481,1665003,1708410,1753471,1814559,1861616,1909229,1947682,1971751,1981298,1984050,1984576
4,8,32,Nevada,2,393966,400260,433396,465381,495379,531663,570527,613429,653390,681879,703367,716501,720066
1,1,33,New Hampshire,0,1235807,1239882,1255517,1269089,1279840,1290121,1298492,1308389,1312540,1315906,1316102,1316470,1316759
1,1,33,New Hampshire,1,1215321,1219185,1232468,1243801,1252815,1261341,1268063,1276051,1278798,1280704,1279772,1279766,1279679
1,1,33,New Hampshire,2,20486,20697,23049,25288,27025,28780,30429,32338,33742,35202,36330,36704,37080
1,2,34,New Jersey,0,8414764,8430621,8492671,8552643,8601402,8634561,8651974,8661679,8677885,8711090,8755602,8791894,8801624
1,2,34,New Jersey,1,7297528,7301718,7318939,7333796,7337879,7329810,7308642,7280639,7257998,7246565,7239732,7236750,7237587
1,2,34,New Jersey,2,1117236,1128903,1173732,1218847,1263523,1304751,1343332,1381040,1419887,1464525,1515870,1555144,1564037
4,8,35,New Mexico,0,1819017,1821204,1831690,1855309,1877574,1903808,1932274,1962137,1990070,2010662,2036802,2059179,2065932
4,8,35,New Mexico,1,1053611,1051216,1048147,1054439,1060054,1069086,1078248,1087488,1093533,1094097,1099238,1105776,1106518
4,8,35,New Mexico,2,765406,769988,783543,800870,817520,834722,854026,874649,896537,916565,937564,953403,959414
1,2,36,New York,0,18977026,19001780,19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19378102,19392283
1,2,36,New York,1,16109344,16107464,16130448,16130657,16121534,16079274,16007210,15941689,15916300,15927444,15948001,15961180,15957063
1,2,36,New York,2,2867682,2894316,2952390,3007143,3054405,3092293,3125400,3162942,3216035,3284992,3359065,3416922,3435220
3,5,37,North Carolina,0,8046346,8081614,8210122,8326201,8422501,8553152,8705407,8917270,9118037,9309449,9449566,9535483,9561558
3,5,37,North Carolina,1,7667457,7696405,7785401,7864268,7926968,8018788,8128515,8292174,8441609,8580803,8678944,8735363,8755493
3,5,37,North Carolina,2,378889,385209,424721,461933,495533,534364,576892,625096,676428,728646,770622,800120,806065
2,4,38,North Dakota,0,642237,642023,639062,638168,638817,644705,646089,649422,652822,657569,664968,672591,674499
2,4,38,North Dakota,1,634448,634189,630685,629169,629103,634346,635292,638123,640923,645009,651692,659124,660752
2,4,38,North Dakota,2,7789,7834,8377,8999,9714,10359,10797,11299,11899,12560,13276,13467,13747
2,3,39,Ohio,0,11353336,11363543,11387404,11407889,11434788,11452251,11463320,11481213,11500468,11515391,11528896,11536504,11536182
2,3,39,Ohio,1,11136237,11144045,11154906,11162569,11176179,11180453,11177132,11180635,11184434,11184524,11184346,11181830,11179395
2,3,39,Ohio,2,217099,219498,232498,245320,258609,271798,286188,300578,316034,330867,344550,354674,356787
3,7,40,Oklahoma,0,3450451,3454365,3467100,3489080,3504892,3525233,3548597,3594090,3634349,3668976,3717572,3751351,3761702
3,7,40,Oklahoma,1,3271157,3273270,3271617,3278634,3281946,3289101,3297394,3325915,3348731,3368253,3398283,3419344,3427108
3,7,40,Oklahoma,2,179294,181095,195483,210446,222946,236132,251203,268175,285618,300723,319289,332007,334594
4,9,41,Oregon,0,3421524,3429708,3467937,3513424,3547376,3569463,3613202,3670883,3722417,3768748,3808600,3831074,3838957
4,9,41,Oregon,1,3146203,3151449,3171854,3200192,3218490,3225786,3251579,3289364,3320019,3346895,3370395,3381012,3385817
4,9,41,Oregon,2,275321,278259,296083,313232,328886,343677,361623,381519,402398,421853,438205,450062,453140
1,2,42,Pennsylvania,0,12280548,12284173,12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12702379,12709630
1,2,42,Pennsylvania,1,11886483,11885799,11877509,11883410,11897201,11900369,11904941,11927569,11942459,11954696,11973041,11982719,11985633
1,2,42,Pennsylvania,2,394065,398374,421461,447621,477457,510353,545049,583240,621478,657589,693817,719660,723997
1,1,44,Rhode Island,0,1048259,1050268,1057142,1065995,1071342,1074579,1067916,1063096,1057315,1055003,1053646,1052567,1052886
1,1,44,Rhode Island,1,957438,958614,960467,964041,964250,963563,953679,945439,936797,930812,925785,921912,921503
1,1,44,Rhode Island,2,90821,91654,96675,101954,107092,111016,114237,117657,120518,124191,127861,130655,131383
3,5,45,South Carolina,0,4012023,4024223,4064995,4107795,4150297,4210921,4270150,4357847,4444110,4528996,4589872,4625364,4636312
3,5,45,South Carolina,1,3916935,3927753,3957380,3988253,4019131,4066815,4111676,4182158,4249899,4316972,4364036,4389682,4398839
3,5,45,South Carolina,2,95088,96470,107615,119542,131166,144106,158474,175689,194211,212024,225836,235682,237473
2,4,46,South Dakota,0,754858,755844,757972,760020,763729,770396,775493,783033,791623,799124,807067,814180,816463
2,4,46,South Dakota,1,743952,744849,745391,746215,748641,754025,757944,764425,771997,778347,785358,792061,794006
2,4,46,South Dakota,2,10906,10995,12581,13805,15088,16371,17549,18608,19626,20777,21709,22119,22457
3,6,47,Tennessee,0,5689427,5703719,5750789,5795918,5847812,5910809,5991057,6088766,6175727,6247411,6306019,6346105,6356897
3,6,47,Tennessee,1,5565599,5578147,5611750,5642988,5680811,5726854,5787037,5864850,5930035,5984848,6027421,6056046,6064741
3,6,47,Tennessee,2,123828,125572,139039,152930,167001,183955,204020,223916,245692,262563,278598,290059,292156
3,7,48,Texas,0,20851028,20944499,21319622,21690325,22030931,22394023,22778123,23359580,23831983,24309039,24801761,25145561,25257114
3,7,48,Texas,1,14181395,14204631,14332617,14445476,14532344,14644028,14767376,15051572,15213713,15381739,15561855,15684640,15720086
3,7,48,Texas,2,6669633,6739868,6987005,7244849,7498587,7749995,8010747,8308008,8618270,8927300,9239906,9460921,9537028
4,8,49,Utah,0,2233183,2244502,2283715,2324815,2360137,2401580,2457719,2525507,2597746,2663029,2723421,2763885,2776469
4,8,49,Utah,1,2031625,2040146,2066067,2093704,2117090,2146716,2188250,2238089,2288085,2332297,2375838,2405545,2414511
4,8,49,Utah,2,201558,204356,217648,231111,243047,254864,269469,287418,309661,330732,347583,358340,361958
1,1,50,Vermont,0,608613,609618,612223,615442,617858,619920,621215,622892,623481,624151,624817,625741,625960
1,1,50,Vermont,1,603107,604062,606119,608865,610930,612576,613461,614755,614989,615228,615543,616533,616532
1,1,50,Vermont,2,5506,5556,6104,6577,6928,7344,7754,8137,8492,8923,9274,9208,9428
3,5,51,Virginia,0,7079057,7105817,7198362,7286873,7366977,7475575,7577105,7673725,7751000,7833496,7925937,8001024,8024617
3,5,51,Virginia,1,6749484,6771549,6836712,6897080,6948739,7026274,7094409,7157629,7204529,7257827,7318507,7369199,7387851
3,5,51,Virginia,2,329573,334268,361650,389793,418238,449301,482696,516096,546471,575669,607430,631825,636766
4,9,53,Washington,0,5894281,5910512,5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6724540,6744496
4,9,53,Washington,1,5452770,5463559,5512082,5553278,5579951,5625498,5674041,5751955,5808908,5871854,5937616,5968750,5983005
4,9,53,Washington,2,441511,446953,473640,499071,524164,553147,583264,618798,652679,690377,729810,755790,761491
3,5,54,West Virginia,0,1808193,1807021,1801481,1805414,1812295,1816438,1820492,1827912,1834052,1840310,1847775,1852994,1853973
3,5,54,West Virginia,1,1795920,1794674,1788334,1791376,1797129,1800237,1802919,1808884,1813906,1819095,1825731,1830726,1831363
3,5,54,West Virginia,2,12273,12347,13147,14038,15166,16201,17573,19028,20146,21215,22044,22268,22610
2,3,55,Wisconsin,0,5363757,5373999,5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5686986,5691047
2,3,55,Wisconsin,1,5170835,5178628,5197064,5221166,5241738,5263029,5280645,5296994,5314525,5330080,5343585,5350930,5352828
2,3,55,Wisconsin,2,192922,195371,209771,223996,237465,250997,265521,280661,296250,310916,325679,336056,338219
4,8,56,Wyoming,0,493786,494300,494657,500017,503453,509106,514157,522667,534876,546043,559851,563626,564460
4,8,56,Wyoming,1,462116,462301,461701,465763,468029,472105,475579,482234,491854,500094,511082,513395,513769
4,8,56,Wyoming,2,31670,31999,32956,34254,35424,37001,38578,40433,43022,45949,48769,50231,50691
